GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	SLIMMED FROM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	A6X980	sfc7	GO:0006351	GO:0006383	transcription by RNA polymerase III	284812	sfc7,tfc7,SPAC1250.07	P
UniProtKB	A6X980	sfc7	GO:0006351	GO:0006384	transcription initiation from RNA polymerase III promoter	284812	sfc7,tfc7,SPAC1250.07	P
UniProtKB	A6X980	sfc7	GO:0006351	GO:0000995	RNA polymerase III general transcription initiation factor activity	284812	sfc7,tfc7,SPAC1250.07	F
UniProtKB	A6X982	SPBC15D4.13c	GO:0006355	GO:0006355	regulation of transcription, DNA-templated	284812	SPBC15D4.13c	P
UniProtKB	A6X982	SPBC15D4.13c	GO:0023052	GO:0023052	signaling	284812	SPBC15D4.13c	P
UniProtKB	A9ZLL8	lsd90	GO:0006629	GO:0042759	long-chain fatty acid biosynthetic process	284812	lsd90,SPBC16E9.16c	P
UniProtKB	B5BP45	SPBC460.01c	GO:0055085	GO:0003333	amino acid transmembrane transport	284812	SPBC460.01c	P
UniProtKB	B5BP45	SPBC460.01c	GO:0055085	GO:0015171	amino acid transmembrane transporter activity	284812	SPBC460.01c	F
UniProtKB	B5BP45	SPBC460.01c	GO:0055085	GO:0055085	transmembrane transport	284812	SPBC460.01c	P
UniProtKB	B5BP45	SPBC460.01c	GO:0055085	GO:0003333	amino acid transmembrane transport	284812	SPBC460.01c	P
UniProtKB	B5BP45	SPBC460.01c	GO:0055085	GO:0015171	amino acid transmembrane transporter activity	284812	SPBC460.01c	F
UniProtKB	B5BP46	SPBC460.02c	GO:0006790	GO:0006749	glutathione metabolic process	284812	SPBC460.02c	P
UniProtKB	B5BP46	SPBC460.02c	GO:0006575	GO:0006749	glutathione metabolic process	284812	SPBC460.02c	P
UniProtKB	B5BP46	SPBC460.02c	GO:0002181	GO:0002182	cytoplasmic translational elongation	284812	SPBC460.02c	P
UniProtKB	B5BP47	SPBC460.03	GO:0055085	GO:0022857	transmembrane transporter activity	284812	SPBC460.03	F
UniProtKB	B5BP47	SPBC460.03	GO:0055085	GO:0055085	transmembrane transport	284812	SPBC460.03	P
UniProtKB	B5BP47	SPBC460.03	GO:0055085	GO:0015174	basic amino acid transmembrane transporter activity	284812	SPBC460.03	F
UniProtKB	B5BP47	SPBC460.03	GO:0055085	GO:0022857	transmembrane transporter activity	284812	SPBC460.03	F
UniProtKB	B5BP47	SPBC460.03	GO:0055085	GO:0055085	transmembrane transport	284812	SPBC460.03	P
UniProtKB	B5BP47	SPBC460.03	GO:0055085	GO:0015179	L-amino acid transmembrane transporter activity	284812	SPBC460.03	F
UniProtKB	B5BP47	SPBC460.03	GO:0055085	GO:0110101	L-valine transmembrane import into vacuole	284812	SPBC460.03	P
UniProtKB	B5BP47	SPBC460.03	GO:0055085	GO:1990591	asparagine transmembrane import into vacuole	284812	SPBC460.03	P
UniProtKB	B5BP47	SPBC460.03	GO:0055085	GO:0090518	L-arginine transmembrane import into vacuole	284812	SPBC460.03	P
UniProtKB	B5BP47	SPBC460.03	GO:0055085	GO:0090517	L-lysine transmembrane import into vacuole	284812	SPBC460.03	P
UniProtKB	B5BP47	SPBC460.03	GO:0055085	GO:0090513	L-histidine transmembrane import into vacuole	284812	SPBC460.03	P
UniProtKB	B5BP48	SPBC460.04c	GO:0006790	GO:0044273	sulfur compound catabolic process	284812	SPBC460.04c	P
UniProtKB	B5BP49	SPBC460.05	GO:0055085	GO:0022857	transmembrane transporter activity	284812	SPBC460.05	F
UniProtKB	B5BP49	SPBC460.05	GO:0055085	GO:0022857	transmembrane transporter activity	284812	SPBC460.05	F
UniProtKB	B5BP49	SPBC460.05	GO:0055085	GO:0055085	transmembrane transport	284812	SPBC460.05	P
UniProtKB	B5BP49	SPBC460.05	GO:0055085	GO:0022857	transmembrane transporter activity	284812	SPBC460.05	F
UniProtKB	B5BP49	SPBC460.05	GO:0055085	GO:0055085	transmembrane transport	284812	SPBC460.05	P
UniProtKB	B8Y7Y5	iec5	GO:0006325	GO:0006325	chromatin organization	284812	iec5,SPAPB1E7.14	P
UniProtKB	B8Y7Y5	iec5	GO:0006281	GO:0006281	DNA repair	284812	iec5,SPAPB1E7.14	P
UniProtKB	B8Y7Y5	iec5	GO:0006325	GO:0016584	nucleosome positioning	284812	iec5,SPAPB1E7.14	P
UniProtKB	B8Y7Y5	iec5	GO:0006325	GO:0043486	histone exchange	284812	iec5,SPAPB1E7.14	P
UniProtKB	B8Y7Y5	iec5	GO:0006325	GO:0043486	histone exchange	284812	iec5,SPAPB1E7.14	P
UniProtKB	C6Y4A3	atp19	GO:1901135	GO:0015986	ATP synthesis coupled proton transport	284812	atp19,SPAC25H1.10c	P
UniProtKB	C6Y4A3	atp19	GO:0055086	GO:0015986	ATP synthesis coupled proton transport	284812	atp19,SPAC25H1.10c	P
UniProtKB	C6Y4A3	atp19	GO:0055085	GO:0015986	ATP synthesis coupled proton transport	284812	atp19,SPAC25H1.10c	P
UniProtKB	C6Y4A3	atp19	GO:1901135	GO:0006754	ATP biosynthetic process	284812	atp19,SPAC25H1.10c	P
UniProtKB	C6Y4A3	atp19	GO:0055086	GO:0006754	ATP biosynthetic process	284812	atp19,SPAC25H1.10c	P
UniProtKB	C6Y4A3	atp19	GO:1901135	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	284812	atp19,SPAC25H1.10c	F
UniProtKB	C6Y4A3	atp19	GO:0055086	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	284812	atp19,SPAC25H1.10c	F
UniProtKB	C6Y4A3	atp19	GO:0055085	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	284812	atp19,SPAC25H1.10c	F
UniProtKB	C6Y4A3	atp19	GO:1901135	GO:0042776	mitochondrial ATP synthesis coupled proton transport	284812	atp19,SPAC25H1.10c	P
UniProtKB	C6Y4A3	atp19	GO:0055086	GO:0042776	mitochondrial ATP synthesis coupled proton transport	284812	atp19,SPAC25H1.10c	P
UniProtKB	C6Y4A3	atp19	GO:0055085	GO:0042776	mitochondrial ATP synthesis coupled proton transport	284812	atp19,SPAC25H1.10c	P
UniProtKB	C6Y4A3	atp19	GO:0006091	GO:0042776	mitochondrial ATP synthesis coupled proton transport	284812	atp19,SPAC25H1.10c	P
UniProtKB	C6Y4A7	emc5	GO:0061024	GO:0045048	protein insertion into ER membrane	284812	emc5,SPAP4C9.02	P
UniProtKB	C6Y4B3	SPAC167.09	GO:1901135	GO:0006506	GPI anchor biosynthetic process	284812	SPAC167.09	P
UniProtKB	C6Y4B3	SPAC167.09	GO:0036211	GO:0006506	GPI anchor biosynthetic process	284812	SPAC167.09	P
UniProtKB	C6Y4B3	SPAC167.09	GO:0006629	GO:0006506	GPI anchor biosynthetic process	284812	SPAC167.09	P
UniProtKB	C6Y4B3	SPAC167.09	GO:1901135	GO:0006506	GPI anchor biosynthetic process	284812	SPAC167.09	P
UniProtKB	C6Y4B3	SPAC167.09	GO:0036211	GO:0006506	GPI anchor biosynthetic process	284812	SPAC167.09	P
UniProtKB	C6Y4B3	SPAC167.09	GO:0006629	GO:0006506	GPI anchor biosynthetic process	284812	SPAC167.09	P
UniProtKB	C6Y4B3	SPAC167.09	GO:1901135	GO:0006506	GPI anchor biosynthetic process	284812	SPAC167.09	P
UniProtKB	C6Y4B3	SPAC167.09	GO:0036211	GO:0006506	GPI anchor biosynthetic process	284812	SPAC167.09	P
UniProtKB	C6Y4B3	SPAC167.09	GO:0006629	GO:0006506	GPI anchor biosynthetic process	284812	SPAC167.09	P
UniProtKB	C6Y4B3	SPAC167.09	GO:1901135	GO:0006506	GPI anchor biosynthetic process	284812	SPAC167.09	P
UniProtKB	C6Y4B3	SPAC167.09	GO:0036211	GO:0006506	GPI anchor biosynthetic process	284812	SPAC167.09	P
UniProtKB	C6Y4B3	SPAC167.09	GO:0006629	GO:0006506	GPI anchor biosynthetic process	284812	SPAC167.09	P
UniProtKB	C6Y4B6	nce101	GO:0016192	GO:0006887	exocytosis	284812	nce101,SPAC12G12.17	P
UniProtKB	C6Y4B7	SPAC227.19c	GO:1901135	GO:0006506	GPI anchor biosynthetic process	284812	SPAC227.19c	P
UniProtKB	C6Y4B7	SPAC227.19c	GO:0036211	GO:0006506	GPI anchor biosynthetic process	284812	SPAC227.19c	P
UniProtKB	C6Y4B7	SPAC227.19c	GO:0006629	GO:0006506	GPI anchor biosynthetic process	284812	SPAC227.19c	P
UniProtKB	C6Y4B8	SPAC22F3.15	GO:0140053	GO:0070900	mitochondrial tRNA modification	284812	SPAC22F3.15	P
UniProtKB	C6Y4B8	SPAC22F3.15	GO:0006399	GO:0070900	mitochondrial tRNA modification	284812	SPAC22F3.15	P
UniProtKB	C6Y4C0	SPAC222.18	GO:0016071	GO:0000398	mRNA splicing, via spliceosome	284812	SPAC222.18	P
UniProtKB	C6Y4C0	SPAC222.18	GO:0016071	GO:0006397	mRNA processing	284812	SPAC222.18	P
UniProtKB	C6Y4C0	SPAC222.18	GO:0016071	GO:0045292	mRNA cis splicing, via spliceosome	284812	SPAC222.18	P
UniProtKB	C6Y4C1	pet117	GO:0065003	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	pet117,SPBC1604.25	P
UniProtKB	C6Y4C1	pet117	GO:0007005	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	pet117,SPBC1604.25	P
UniProtKB	C6Y4C1	pet117	GO:0065003	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	pet117,SPBC1604.25	P
UniProtKB	C6Y4C1	pet117	GO:0007005	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	pet117,SPBC1604.25	P
UniProtKB	C6Y4C2	spo2	GO:0048856	GO:0030435	sporulation resulting in formation of a cellular spore	284812	spo2,SPBC16C6.14	P
UniProtKB	C6Y4C2	spo2	GO:0030154	GO:0030435	sporulation resulting in formation of a cellular spore	284812	spo2,SPBC16C6.14	P
UniProtKB	C6Y4C2	spo2	GO:0022414	GO:0051321	meiotic cell cycle	284812	spo2,SPBC16C6.14	P
UniProtKB	C6Y4C2	spo2	GO:0048856	GO:0031322	ascospore-type prospore-specific spindle pole body remodeling	284812	spo2,SPBC16C6.14	P
UniProtKB	C6Y4C2	spo2	GO:0030154	GO:0031322	ascospore-type prospore-specific spindle pole body remodeling	284812	spo2,SPBC16C6.14	P
UniProtKB	C6Y4C2	spo2	GO:0022414	GO:0031322	ascospore-type prospore-specific spindle pole body remodeling	284812	spo2,SPBC16C6.14	P
UniProtKB	C6Y4C2	spo2	GO:0007010	GO:0031322	ascospore-type prospore-specific spindle pole body remodeling	284812	spo2,SPBC16C6.14	P
UniProtKB	C6Y4C2	spo2	GO:0048856	GO:0030437	ascospore formation	284812	spo2,SPBC16C6.14	P
UniProtKB	C6Y4C2	spo2	GO:0030154	GO:0030437	ascospore formation	284812	spo2,SPBC16C6.14	P
UniProtKB	C6Y4C2	spo2	GO:0022414	GO:0030437	ascospore formation	284812	spo2,SPBC16C6.14	P
UniProtKB	C6Y4C4	SPBC26H8.16	GO:0065003	GO:0034553	mitochondrial respiratory chain complex II assembly	284812	SPBC26H8.16	P
UniProtKB	C6Y4C4	SPBC26H8.16	GO:0007005	GO:0034553	mitochondrial respiratory chain complex II assembly	284812	SPBC26H8.16	P
UniProtKB	C6Y4C4	SPBC26H8.16	GO:0065003	GO:0034553	mitochondrial respiratory chain complex II assembly	284812	SPBC26H8.16	P
UniProtKB	C6Y4C4	SPBC26H8.16	GO:0007005	GO:0034553	mitochondrial respiratory chain complex II assembly	284812	SPBC26H8.16	P
UniProtKB	C6Y4C7	SPCC757.15	GO:0065003	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	SPCC757.15	P
UniProtKB	C6Y4C7	SPCC757.15	GO:0007005	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	SPCC757.15	P
UniProtKB	C6Y4C8	vma21	GO:0065003	GO:0070072	vacuolar proton-transporting V-type ATPase complex assembly	284812	vma21,SPCC1235.16	P
UniProtKB	C6Y4C8	vma21	GO:0065003	GO:0070072	vacuolar proton-transporting V-type ATPase complex assembly	284812	vma21,SPCC1235.16	P
UniProtKB	C6Y4C8	vma21	GO:0065003	GO:0070072	vacuolar proton-transporting V-type ATPase complex assembly	284812	vma21,SPCC1235.16	P
UniProtKB	C6Y4C8	vma21	GO:0065003	GO:0070072	vacuolar proton-transporting V-type ATPase complex assembly	284812	vma21,SPCC1235.16	P
UniProtKB	C6Y4C9	spo13	GO:0016192	GO:0006887	exocytosis	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0048856	GO:0030435	sporulation resulting in formation of a cellular spore	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0030154	GO:0030435	sporulation resulting in formation of a cellular spore	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0022414	GO:0051321	meiotic cell cycle	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0061024	GO:0032120	ascospore-type prospore membrane formation	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0048856	GO:0032120	ascospore-type prospore membrane formation	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0030154	GO:0032120	ascospore-type prospore membrane formation	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0022414	GO:0032120	ascospore-type prospore membrane formation	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0048856	GO:0031322	ascospore-type prospore-specific spindle pole body remodeling	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0030154	GO:0031322	ascospore-type prospore-specific spindle pole body remodeling	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0022414	GO:0031322	ascospore-type prospore-specific spindle pole body remodeling	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0007010	GO:0031322	ascospore-type prospore-specific spindle pole body remodeling	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0048856	GO:0030437	ascospore formation	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0030154	GO:0030437	ascospore formation	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0022414	GO:0030437	ascospore formation	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0022414	GO:1902441	protein localization to meiotic spindle pole body	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0007010	GO:1902441	protein localization to meiotic spindle pole body	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0022414	GO:1902441	protein localization to meiotic spindle pole body	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0007010	GO:1902441	protein localization to meiotic spindle pole body	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0022414	GO:1902441	protein localization to meiotic spindle pole body	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0007010	GO:1902441	protein localization to meiotic spindle pole body	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0022414	GO:1902441	protein localization to meiotic spindle pole body	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4C9	spo13	GO:0007010	GO:1902441	protein localization to meiotic spindle pole body	284812	spo13,SPCC1183.12	P
UniProtKB	C6Y4D0	dpb3	GO:0006260	GO:0006260	DNA replication	284812	dpb3,daf1,SPCC16C4.22	P
UniProtKB	C6Y4D0	dpb3	GO:0006325	GO:0031507	heterochromatin assembly	284812	dpb3,daf1,SPCC16C4.22	P
UniProtKB	C6Y4D0	dpb3	GO:0006260	GO:1902983	DNA strand elongation involved in mitotic DNA replication	284812	dpb3,daf1,SPCC16C4.22	P
UniProtKB	C6Y4D0	dpb3	GO:0000278	GO:1902983	DNA strand elongation involved in mitotic DNA replication	284812	dpb3,daf1,SPCC16C4.22	P
UniProtKB	C6Y4D0	dpb3	GO:0006260	GO:1902975	mitotic DNA replication initiation	284812	dpb3,daf1,SPCC16C4.22	P
UniProtKB	C6Y4D0	dpb3	GO:0000278	GO:1902975	mitotic DNA replication initiation	284812	dpb3,daf1,SPCC16C4.22	P
UniProtKB	C6Y4D0	dpb3	GO:0065003	GO:0140529	CMG complex assembly	284812	dpb3,daf1,SPCC16C4.22	P
UniProtKB	C6Y4D0	dpb3	GO:0006260	GO:0140529	CMG complex assembly	284812	dpb3,daf1,SPCC16C4.22	P
UniProtKB	C6Y4D2	mrp49	GO:0140053	GO:0032543	mitochondrial translation	284812	mrp49,SPCC1442.19	P
UniProtKB	C6Y4D3	ecl1	GO:0055065	GO:0010106	cellular response to iron ion starvation	284812	ecl1,SPCC70.12c	P
UniProtKB	C6Y4D3	ecl1	GO:0022414	GO:0000747	conjugation with cellular fusion	284812	ecl1,SPCC70.12c	P
UniProtKB	C6Y4D3	ecl1	GO:0022414	GO:0000747	conjugation with cellular fusion	284812	ecl1,SPCC70.12c	P
UniProtKB	G2TRJ9	coa3	GO:0065003	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	coa3,tam3,SPAC1B3.21	P
UniProtKB	G2TRJ9	coa3	GO:0007005	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	coa3,tam3,SPAC1B3.21	P
UniProtKB	G2TRJ9	coa3	GO:0065003	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	coa3,tam3,SPAC1B3.21	P
UniProtKB	G2TRJ9	coa3	GO:0007005	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	coa3,tam3,SPAC1B3.21	P
UniProtKB	G2TRJ9	coa3	GO:0065003	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	coa3,tam3,SPAC1B3.21	P
UniProtKB	G2TRJ9	coa3	GO:0007005	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	coa3,tam3,SPAC1B3.21	P
UniProtKB	G2TRK8	gem6	GO:0016071	GO:0006397	mRNA processing	284812	gem6,new12,SPAC4D7.15	P
UniProtKB	G2TRK8	gem6	GO:0065003	GO:0000387	spliceosomal snRNP assembly	284812	gem6,new12,SPAC4D7.15	P
UniProtKB	G2TRK8	gem6	GO:0016071	GO:0000387	spliceosomal snRNP assembly	284812	gem6,new12,SPAC4D7.15	P
UniProtKB	G2TRL2	wip1	GO:0065003	GO:0051382	kinetochore assembly	284812	wip1,new1,SPAC17G8.15	P
UniProtKB	G2TRL2	wip1	GO:0007059	GO:0007059	chromosome segregation	284812	wip1,new1,SPAC17G8.15	P
UniProtKB	G2TRL2	wip1	GO:0000278	GO:0000278	mitotic cell cycle	284812	wip1,new1,SPAC17G8.15	P
UniProtKB	G2TRL2	wip1	GO:0140014	GO:0000070	mitotic sister chromatid segregation	284812	wip1,new1,SPAC17G8.15	P
UniProtKB	G2TRL2	wip1	GO:0007059	GO:0000070	mitotic sister chromatid segregation	284812	wip1,new1,SPAC17G8.15	P
UniProtKB	G2TRL3	rsa3	GO:0065003	GO:0000027	ribosomal large subunit assembly	284812	rsa3,new7,SPAC6B12.19	P
UniProtKB	G2TRL3	rsa3	GO:0042254	GO:0000027	ribosomal large subunit assembly	284812	rsa3,new7,SPAC6B12.19	P
UniProtKB	G2TRL3	rsa3	GO:0042254	GO:0042254	ribosome biogenesis	284812	rsa3,new7,SPAC6B12.19	P
UniProtKB	G2TRL3	rsa3	GO:0065003	GO:0000027	ribosomal large subunit assembly	284812	rsa3,new7,SPAC6B12.19	P
UniProtKB	G2TRL3	rsa3	GO:0042254	GO:0000027	ribosomal large subunit assembly	284812	rsa3,new7,SPAC6B12.19	P
UniProtKB	G2TRL5	new2	GO:0006399	GO:0008033	tRNA processing	284812	new2,SPAC1805.18	P
UniProtKB	G2TRL5	new2	GO:0016071	GO:0006379	mRNA cleavage	284812	new2,SPAC1805.18	P
UniProtKB	G2TRL5	new2	GO:0042254	GO:0006364	rRNA processing	284812	new2,SPAC1805.18	P
UniProtKB	G2TRL7	spd2	GO:1901135	GO:0009262	deoxyribonucleotide metabolic process	284812	spd2,SPAC3F10.19	P
UniProtKB	G2TRL7	spd2	GO:0055086	GO:0009262	deoxyribonucleotide metabolic process	284812	spd2,SPAC3F10.19	P
UniProtKB	G2TRL9	new8	GO:0006629	GO:0006633	fatty acid biosynthetic process	284812	new8,SPAC3G9.17	P
UniProtKB	G2TRL9	new8	GO:0036211	GO:0008897	holo-[acyl-carrier-protein] synthase activity	284812	new8,SPAC3G9.17	F
UniProtKB	G2TRL9	new8	GO:0006629	GO:0006633	fatty acid biosynthetic process	284812	new8,SPAC3G9.17	P
UniProtKB	G2TRL9	new8	GO:0006629	GO:0006631	fatty acid metabolic process	284812	new8,SPAC3G9.17	P
UniProtKB	G2TRL9	new8	GO:0006629	GO:0006629	lipid metabolic process	284812	new8,SPAC3G9.17	P
UniProtKB	G2TRL9	new8	GO:0036211	GO:0008897	holo-[acyl-carrier-protein] synthase activity	284812	new8,SPAC3G9.17	F
UniProtKB	G2TRL9	new8	GO:0036211	GO:0018070	peptidyl-serine phosphopantetheinylation	284812	new8,SPAC3G9.17	P
UniProtKB	G2TRL9	new8	GO:0036211	GO:0008897	holo-[acyl-carrier-protein] synthase activity	284812	new8,SPAC3G9.17	F
UniProtKB	G2TRL9	new8	GO:0036211	GO:0008897	holo-[acyl-carrier-protein] synthase activity	284812	new8,SPAC3G9.17	F
UniProtKB	G2TRM0	fmc1	GO:0065003	GO:0033615	mitochondrial proton-transporting ATP synthase complex assembly	284812	fmc1,new3,SPAC1486.11	P
UniProtKB	G2TRM0	fmc1	GO:0007005	GO:0033615	mitochondrial proton-transporting ATP synthase complex assembly	284812	fmc1,new3,SPAC1486.11	P
UniProtKB	G2TRM0	fmc1	GO:0065003	GO:0033615	mitochondrial proton-transporting ATP synthase complex assembly	284812	fmc1,new3,SPAC1486.11	P
UniProtKB	G2TRM0	fmc1	GO:0007005	GO:0033615	mitochondrial proton-transporting ATP synthase complex assembly	284812	fmc1,new3,SPAC1486.11	P
UniProtKB	G2TRM0	fmc1	GO:0065003	GO:0033615	mitochondrial proton-transporting ATP synthase complex assembly	284812	fmc1,new3,SPAC1486.11	P
UniProtKB	G2TRM0	fmc1	GO:0007005	GO:0033615	mitochondrial proton-transporting ATP synthase complex assembly	284812	fmc1,new3,SPAC1486.11	P
UniProtKB	G2TRM0	fmc1	GO:0065003	GO:0034553	mitochondrial respiratory chain complex II assembly	284812	fmc1,new3,SPAC1486.11	P
UniProtKB	G2TRM0	fmc1	GO:0007005	GO:0034553	mitochondrial respiratory chain complex II assembly	284812	fmc1,new3,SPAC1486.11	P
UniProtKB	G2TRM6	new4	GO:0065003	GO:0000492	box C/D snoRNP assembly	284812	new4,SPAC3H5.13	P
UniProtKB	G2TRM6	new4	GO:0065003	GO:0000492	box C/D snoRNP assembly	284812	new4,SPAC3H5.13	P
UniProtKB	G2TRM6	new4	GO:0065003	GO:0000492	box C/D snoRNP assembly	284812	new4,SPAC3H5.13	P
UniProtKB	G2TRM8	coa2	GO:0065003	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	coa2,new5,SPAC15A10.17	P
UniProtKB	G2TRM8	coa2	GO:0007005	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	coa2,new5,SPAC15A10.17	P
UniProtKB	G2TRM8	coa2	GO:0065003	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	coa2,new5,SPAC15A10.17	P
UniProtKB	G2TRM8	coa2	GO:0007005	GO:0033617	mitochondrial cytochrome c oxidase assembly	284812	coa2,new5,SPAC15A10.17	P
UniProtKB	G2TRN4	erh1	GO:0016071	GO:0033621	nuclear-transcribed mRNA catabolic process, meiosis-specific transcripts	284812	erh1,new10,SPAC19G12.17	P
UniProtKB	G2TRN8	SPAC977.04	GO:0055085	GO:0022857	transmembrane transporter activity	284812	SPAC977.04	F
UniProtKB	G2TRN8	SPAC977.04	GO:0055085	GO:0055085	transmembrane transport	284812	SPAC977.04	P
UniProtKB	G2TRN9	SPAC11D3.11c	GO:0006355	GO:0006355	regulation of transcription, DNA-templated	284812	SPAC11D3.11c	P
UniProtKB	G2TRN9	SPAC11D3.11c	GO:0006351	GO:0006351	transcription, DNA-templated	284812	SPAC11D3.11c	P
UniProtKB	G2TRN9	SPAC11D3.11c	GO:0006355	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	284812	SPAC11D3.11c	F
UniProtKB	G2TRN9	SPAC11D3.11c	GO:0006355	GO:0006357	regulation of transcription by RNA polymerase II	284812	SPAC11D3.11c	P
UniProtKB	G2TRN9	SPAC11D3.11c	GO:0006355	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	284812	SPAC11D3.11c	F
UniProtKB	G2TRP0	mim2	GO:0065003	GO:0070096	mitochondrial outer membrane translocase complex assembly	284812	mim2,tam7,SPBC409.23	P
UniProtKB	G2TRP0	mim2	GO:0061024	GO:0070096	mitochondrial outer membrane translocase complex assembly	284812	mim2,tam7,SPBC409.23	P
UniProtKB	G2TRP0	mim2	GO:0007005	GO:0070096	mitochondrial outer membrane translocase complex assembly	284812	mim2,tam7,SPBC409.23	P
UniProtKB	G2TRP0	mim2	GO:0061024	GO:0045040	protein insertion into mitochondrial outer membrane	284812	mim2,tam7,SPBC409.23	P
UniProtKB	G2TRP0	mim2	GO:0007005	GO:0045040	protein insertion into mitochondrial outer membrane	284812	mim2,tam7,SPBC409.23	P
UniProtKB	G2TRP0	mim2	GO:0006886	GO:0045040	protein insertion into mitochondrial outer membrane	284812	mim2,tam7,SPBC409.23	P
